freq_hz,mag_db,phase_deg
6.072998046875000000e+00,-8.357771437164391415e+00,-1.344800396550816401e+02
6.103515625000000000e+00,-7.647607495347981121e+00,2.201613217497373398e+01
6.134033203125000000e+00,-4.745259379500682329e+00,4.988714316519366321e+01
6.164550781250000000e+00,-1.174151002474166816e+00,1.695171937959116235e+02
6.195068359375000000e+00,-1.017683663425034801e+01,6.216390599837562547e+01
6.225585937500000000e+00,6.072697660685534515e+00,-1.314492281235177416e+02
6.256103515625000000e+00,-2.021987028032078726e+01,-1.177822621003050614e+02
6.286621093750000000e+00,-1.572712908607226190e+01,-1.002583253872486466e+02
6.317138671875000000e+00,-8.722407668113177692e+00,-3.055878764318548235e+01
6.347656250000000000e+00,-1.697955952353486353e+01,-4.280512035825061901e+01
6.378173828125000000e+00,-2.014198274865354321e+01,-6.748551370168834751e+01
6.408691406250000000e+00,-1.622996214620905064e+01,-1.082905167148822159e+02
6.439208984375000000e+00,-1.814343297062498550e+01,-1.351622007551357569e+02
6.469726562500000000e+00,-1.954364891221150557e+01,-8.184425996974123052e+01
6.500244140625000000e+00,-2.100512200026686571e+01,-4.104857678185830139e+01
6.530761718750000000e+00,-1.287497501510245712e+01,-1.077144171063037987e+02
6.561279296875000000e+00,-1.887353767968220097e+01,2.129494699891701259e+01
6.591796875000000000e+00,-1.926980153835008736e+01,-8.778605681686151740e+00
6.622314453125000000e+00,-1.333800705562655509e+01,-1.188873910313735252e+02
6.652832031250000000e+00,-1.101311344548952320e+01,9.419227713327518359e+01
6.683349609375000000e+00,-2.430716614387426588e+01,1.127275669628594699e+02
6.713867187500000000e+00,-2.684216520030595987e+01,1.055393256162107036e+02
6.744384765625000000e+00,-2.099827324511887383e+01,-4.648703855696534504e+01
6.774902343750000000e+00,-2.871941178231348957e+01,-5.118074889542773320e+01
6.805419921875000000e+00,-2.696013835025405925e+01,-3.950096757591028052e+01
6.835937500000000000e+00,-2.569790533627145379e+01,7.041077342589601074e+01
6.866455078125000000e+00,-2.299685260047277779e+01,1.233977857606759443e+02
6.896972656250000000e+00,-2.603274255904394963e+01,1.656204861218213296e+02
6.927490234375000000e+00,-2.320884520487675218e+01,-6.308076117074248401e+01
6.958007812500000000e+00,-3.064070974049599272e+01,4.342249996956427083e+01
6.988525390625000000e+00,-3.319780347105866269e+01,1.370078727902423168e+02
7.019042968750000000e+00,-3.358977613903521586e+01,1.239596028652491100e+02
7.049560546875000000e+00,-3.395050119729625493e+01,1.134571628806860275e+02
7.080078125000000000e+00,-2.835101246521510632e+01,1.454620400625533136e+02
7.110595703125000000e+00,-3.109831021723657685e+01,9.560777065578771783e+01
7.141113281250000000e+00,-3.250893767770968878e+01,-6.731573146374400096e+01
7.171630859375000000e+00,-2.665105392369662596e+01,6.580182644654891533e+01
7.202148437500000000e+00,-3.505969557623838284e+01,1.070944487343068374e+02
7.232666015625000000e+00,-3.387765230886786583e+01,1.101760750206050687e+02
7.263183593750000000e+00,-3.827746018112153337e+01,6.613555356053885248e+01
7.293701171875000000e+00,-3.336842095385336648e+01,4.610724208137686730e+01
7.324218750000000000e+00,-4.209072651546922827e+01,-1.566166255529469886e+01
7.354736328125000000e+00,-3.055124676949436235e+01,-5.586372316384556314e+01
7.385253906250000000e+00,-3.874577747794464244e+01,1.473723596633237207e+02
7.415771484375000000e+00,-3.518436056045597837e+01,1.542294189745913400e+02
7.446289062500000000e+00,-2.664229948539654913e+01,-1.556944195907435891e+01
7.476806640625000000e+00,-3.173383537413053546e+01,1.046013755767334601e+02
7.507324218750000000e+00,-4.249735059659963099e+01,2.716035225447033241e+01
7.537841796875000000e+00,-4.464623273402861514e+01,-2.381307023187458327e+01
7.568359375000000000e+00,-4.191190355617283814e+01,3.495984624536536245e+01
7.598876953125000000e+00,-3.836000585551269637e+01,-1.652149003410759747e+02
7.629394531250000000e+00,-2.566322763901612092e+01,-1.158318858222674841e+01
7.659912109375000000e+00,-4.599505414822858285e+01,-5.947303191526004440e+01
7.690429687500000000e+00,-4.861161503388677829e+01,-1.614323285599443807e+02
7.720947265625000000e+00,-4.497752376010250686e+01,-1.406102313809442421e+02
7.751464843750000000e+00,-4.590712491936134398e+01,-1.306045616981747344e+02
7.781982421875000000e+00,-4.994411105011214147e+01,-1.016750008343910991e+02
7.812500000000000000e+00,-4.058985781744950572e+01,-3.657973267179090016e+01
7.843017578125000000e+00,-4.807820282893342778e+01,6.799907764875872829e+01
7.873535156250000000e+00,-4.096800028139807637e+01,-7.495102357721808062e+01
7.904052734375000000e+00,-4.591460855713176414e+01,-1.360746032891935329e+02
7.934570312500000000e+00,-4.527195426911607257e+01,-7.848451063120016613e+01
7.965087890625000000e+00,-5.300917433717593497e+01,8.064098061099538484e+01
7.995605468750000000e+00,-5.638482714155357201e+01,6.869954722282498949e+01
8.026123046875000000e+00,-6.063021001787784314e+01,6.790335185530348383e+01
8.056640625000000000e+00,-5.533700045657916888e+01,8.053119196437825167e+01
8.087158203125000000e+00,-5.569935280484001794e+01,-1.340104005008419641e+01
8.117675781250000000e+00,-5.821865425957109608e+01,-4.697091199453986121e+01
8.148193359375000000e+00,-5.811536993509036364e+01,-7.368221347636112739e+01
8.178710937500000000e+00,-5.785141744623189197e+01,-1.357075245416484108e+02
8.209228515625000000e+00,-5.882566567084520415e+01,1.694909315386035757e+02
8.239746093750000000e+00,-5.578380331249297797e+01,1.280319499802994301e+02
8.270263671875000000e+00,-4.839082921627137068e+01,-8.426257348838782946e+01
8.300781250000000000e+00,-6.031942274960211847e+01,-7.296751305328920978e+01
8.331298828125000000e+00,-5.191281580122275585e+01,-1.783799501306155264e+02
8.361816406250000000e+00,-6.378998521450162684e+01,1.638735923481651753e+02
8.392333984375000000e+00,-5.611595864410244161e+01,-1.397734140749266487e+02
8.422851562500000000e+00,-6.115710606340221034e+01,-1.874187913005155437e+01
8.453369140625000000e+00,-4.962715275538576520e+01,1.768929631588379721e+02
8.483886718750000000e+00,-5.562687061222727891e+01,-8.606025008222067640e+01
8.514404296875000000e+00,-5.851909747941881790e+01,1.696616119432881220e+01
8.544921875000000000e+00,-5.358577817754746775e+01,8.868239131719855095e+01
8.575439453125000000e+00,-6.186499226058873546e+01,7.457713784414221436e+01
8.605957031250000000e+00,-6.523870538918436068e+01,2.220217997745573513e+01
8.636474609375000000e+00,-7.122298367654313722e+01,1.101211722814737115e+01
8.666992187500000000e+00,-6.881708602709616684e+01,3.630420932939612300e+01
8.697509765625000000e+00,-6.235443702811203082e+01,1.199740753775027287e+02
8.728027343750000000e+00,-6.802876972535631239e+01,1.319760724268697345e+02
8.758544921875000000e+00,-6.619077130716956958e+01,1.693519370869058207e+02
8.789062500000000000e+00,-6.826528312353799777e+01,-1.478076853643414381e+02
8.819580078125000000e+00,-7.174802205777183417e+01,1.713851947657897767e+02
8.850097656250000000e+00,-7.641758111434991463e+01,-1.628661317595853006e+02
8.880615234375000000e+00,-7.472273847129801538e+01,-1.621886064370168299e+02
8.911132812500000000e+00,-7.393897263372299733e+01,1.113554431429157177e+02
8.941650390625000000e+00,-7.200879248111192510e+01,7.927594442131075425e+01
8.972167968750000000e+00,-6.528973219959550534e+01,9.158191513582566756e+01
9.002685546875000000e+00,-7.132311953728790854e+01,3.076200298513424869e+01
9.033203125000000000e+00,-7.423889588139863349e+01,1.971126757411640185e+01
9.063720703125000000e+00,-7.359224399402026506e+01,9.804907660019281934e+01
9.094238281250000000e+00,-7.491551274581165387e+01,1.548817064000749042e+02
9.124755859375000000e+00,-7.464510570248897636e+01,4.770447804301607420e+01
9.155273437500000000e+00,-7.603686625596213844e+01,1.601200594125241139e+01
9.185791015625000000e+00,-7.176641503254424492e+01,1.421729439516925027e+02
9.216308593750000000e+00,-6.629236625709906150e+01,8.505631240066912824e+01
9.246826171875000000e+00,-7.493558926975921963e+01,1.933125924247940475e+01
9.277343750000000000e+00,-7.341117205343675778e+01,5.492996519696560398e+01
9.307861328125000000e+00,-6.203758636469135013e+01,-3.398630073307996380e+00
9.338378906250000000e+00,-7.116955933074312668e+01,-2.095025503267336475e+01
9.368896484375000000e+00,-7.542473508305982932e+01,1.906264295159713384e+01
9.399414062500000000e+00,-8.340839184632550030e+01,2.668667027681271975e+01
9.429931640625000000e+00,-6.442193561725358109e+01,-1.001862655370439192e+01
9.460449218750000000e+00,-8.015809862302825195e+01,-1.120739201675498009e+02
9.490966796875000000e+00,-7.206553863184066699e+01,-1.561568615115410807e+02
9.521484375000000000e+00,-7.741690576459882323e+01,-9.277412262641144025e+01
9.552001953125000000e+00,-8.251571576699353727e+01,1.691447614838622471e+01
9.582519531250000000e+00,-8.468110323513823801e+01,-3.622061366488675382e+00
9.613037109375000000e+00,-8.111894020966524010e+01,1.394207945209343613e+01
9.643554687500000000e+00,-7.101264010242103097e+01,-3.396018475110598178e+00
9.674072265625000000e+00,-7.714990978241230835e+01,-9.741432056692140407e+01
9.704589843750000000e+00,-8.300282262936590882e+01,-2.332657399399489151e+01
9.735107421875000000e+00,-8.524330690323375848e+01,1.461898501299059490e+02
9.765625000000000000e+00,-7.185103065030082803e+01,8.397113095270643157e+01
9.796142578125000000e+00,-7.769687296102632956e+01,-7.956744238418063730e+01
9.826660156250000000e+00,-6.889674437021713516e+01,1.254464820544836527e+02
9.857177734375000000e+00,-8.444465774226202370e+01,-5.007380681109611942e+01
9.887695312500000000e+00,-8.476264534924976601e+01,-3.999618078544088462e+01
9.918212890625000000e+00,-7.754943822469033421e+01,-5.169209436337689567e+01
9.948730468750000000e+00,-8.542900982070030125e+01,-9.274488754492442411e+01
9.979248046875000000e+00,-6.926202252572531393e+01,6.561747886711059152e+01
1.000976562500000000e+01,-8.577438867173356130e+01,-1.120725007199798000e+02
1.004028320312500000e+01,-8.344378564021968714e+01,-9.429243066025998132e+01
1.007080078125000000e+01,-8.789818747673719201e+01,-1.794249462289320718e+02
1.010131835937500000e+01,-8.665304792666898948e+01,-2.935514034960118224e+01
1.013183593750000000e+01,-7.711362540368060081e+01,-1.485568829077875250e+02
1.016235351562500000e+01,-7.779249312326757604e+01,4.721496696462715192e+01
1.019287109375000000e+01,-8.482718342543407175e+01,-8.724761172231674777e+01
1.022338867187500000e+01,-8.466966941866859031e+01,1.467244662717336041e+02
1.025390625000000000e+01,-9.024717244669659522e+01,8.577085884756169065e+00
1.028442382812500000e+01,-8.011207803579779352e+01,-1.028206139469119013e-01
1.031494140625000000e+01,-7.494093826442265538e+01,-1.395788775952662206e+02
1.034545898437500000e+01,-7.831979938998338753e+01,-1.545078132618481277e+02
